date,Region,Municipality,cases,deaths
23/03/2020,Costal,Kotor,0,0
23/03/2020,Costal,Tivat,0,0
23/03/2020,Costal,Ulcinj,0,0
23/03/2020,Northern,Andrijevica,0,0
23/03/2020,Northern,Berane,0,0
23/03/2020,Northern,Bijelo Polje,0,0
23/03/2020,Northern,Gusinje,0,0
23/03/2020,Northern,Kolasin,0,0
23/03/2020,Northern,Mojkovac,0,0
23/03/2020,Northern,Petnjica,0,0
23/03/2020,Northern,Plav,0,0
23/03/2020,Northern,Pluzine,0,0
23/03/2020,Northern,Pljevlja,0,0
23/03/2020,Northern,Rozaje,0,0
23/03/2020,Northern,Savnik,0,0
23/03/2020,Northern,Zabljak,0,0
24/03/2020,Central,Podgorica,0,0
24/03/2020,Central,Cetinje,0,0
24/03/2020,Central,Danilovgrad,0,0
24/03/2020,Central,Niksic,0,0
24/03/2020,Central,Tuzi,0,0
24/03/2020,Costal,Bar,0,0
24/03/2020,Costal,Budva,0,0
24/03/2020,Costal,Herceg Novi,0,0
24/03/2020,Costal,Kotor,0,0
24/03/2020,Costal,Tivat,0,0
24/03/2020,Costal,Ulcinj,0,0
24/03/2020,Northern,Andrijevica,0,0
24/03/2020,Northern,Berane,0,0
24/03/2020,Northern,Bijelo Polje,0,0
24/03/2020,Northern,Gusinje,0,0
24/03/2020,Northern,Kolasin,0,0
24/03/2020,Northern,Mojkovac,0,0
24/03/2020,Northern,Petnjica,0,0
24/03/2020,Northern,Plav,0,0
24/03/2020,Northern,Pluzine,0,0
24/03/2020,Northern,Pljevlja,0,0
24/03/2020,Northern,Rozaje,0,0
24/03/2020,Northern,Savnik,0,0
24/03/2020,Northern,Zabljak,0,0
25/03/2020,Central,Podgorica,0,0
25/03/2020,Central,Cetinje,0,0
25/03/2020,Central,Danilovgrad,0,0
25/03/2020,Central,Niksic,0,0
25/03/2020,Central,Tuzi,0,0
25/03/2020,Costal,Bar,0,0
25/03/2020,Costal,Budva,0,0
25/03/2020,Costal,Herceg Novi,0,0
25/03/2020,Costal,Kotor,0,0
25/03/2020,Costal,Tivat,0,0
25/03/2020,Costal,Ulcinj,0,0
25/03/2020,Northern,Andrijevica,0,0
25/03/2020,Northern,Berane,0,0
25/03/2020,Northern,Bijelo Polje,0,0
25/03/2020,Northern,Gusinje,0,0
25/03/2020,Northern,Kolasin,0,0
25/03/2020,Northern,Mojkovac,0,0
25/03/2020,Northern,Petnjica,0,0
25/03/2020,Northern,Plav,0,0
25/03/2020,Northern,Pluzine,0,0
25/03/2020,Northern,Pljevlja,0,0
25/03/2020,Northern,Rozaje,0,0
25/03/2020,Northern,Savnik,0,0
25/03/2020,Northern,Zabljak,0,0
26/03/2020,Central,Podgorica,27,0
26/03/2020,Central,Cetinje,0,0
26/03/2020,Central,Danilovgrad,1,0
26/03/2020,Central,Niksic,0,0
26/03/2020,Central,Tuzi,26,0
26/03/2020,Costal,Bar,3,0
26/03/2020,Costal,Budva,4,0
26/03/2020,Costal,Herceg Novi,4,0
26/03/2020,Costal,Kotor,0,0
26/03/2020,Costal,Tivat,0,0
26/03/2020,Costal,Ulcinj,3,0
26/03/2020,Northern,Andrijevica,1,0
26/03/2020,Northern,Berane,0,0
26/03/2020,Northern,Bijelo Polje,0,0
26/03/2020,Northern,Gusinje,0,0
26/03/2020,Northern,Kolasin,0,0
26/03/2020,Northern,Mojkovac,0,0
26/03/2020,Northern,Petnjica,0,0
26/03/2020,Northern,Plav,0,0
26/03/2020,Northern,Pluzine,0,0
26/03/2020,Northern,Pljevlja,0,0
26/03/2020,Northern,Rozaje,0,0
26/03/2020,Northern,Savnik,0,0
26/03/2020,Northern,Zabljak,0,0
27/03/2020,Central,Podgorica,0,0
27/03/2020,Central,Cetinje,0,0
27/03/2020,Central,Danilovgrad,0,0
27/03/2020,Central,Niksic,0,0
27/03/2020,Central,Tuzi,1,0
27/03/2020,Costal,Bar,0,0
27/03/2020,Costal,Budva,0,0
27/03/2020,Costal,Herceg Novi,0,0
27/03/2020,Costal,Kotor,0,0
27/03/2020,Costal,Tivat,0,0
27/03/2020,Costal,Ulcinj,0,0
27/03/2020,Northern,Andrijevica,5,0
27/03/2020,Northern,Berane,0,0
27/03/2020,Northern,Bijelo Polje,0,0
27/03/2020,Northern,Gusinje,0,0
27/03/2020,Northern,Kolasin,0,0
27/03/2020,Northern,Mojkovac,0,0
27/03/2020,Northern,Petnjica,0,0
27/03/2020,Northern,Plav,0,0
27/03/2020,Northern,Pluzine,0,0
27/03/2020,Northern,Pljevlja,0,0
27/03/2020,Northern,Rozaje,0,0
27/03/2020,Northern,Savnik,0,0
27/03/2020,Northern,Zabljak,0,0
28/03/2020,Central,Podgorica,1,0
28/03/2020,Central,Cetinje,0,0
28/03/2020,Central,Danilovgrad,0,0
28/03/2020,Central,Niksic,0,0
28/03/2020,Central,Tuzi,5,0
28/03/2020,Costal,Bar,3,0
28/03/2020,Costal,Budva,0,0
28/03/2020,Costal,Herceg Novi,0,0
28/03/2020,Costal,Kotor,0,0
28/03/2020,Costal,Tivat,1,0
28/03/2020,Costal,Ulcinj,0,0
28/03/2020,Northern,Andrijevica,0,0
28/03/2020,Northern,Berane,0,0
28/03/2020,Northern,Bijelo Polje,0,0
28/03/2020,Northern,Gusinje,0,0
28/03/2020,Northern,Kolasin,0,0
28/03/2020,Northern,Mojkovac,0,0
28/03/2020,Northern,Petnjica,0,0
28/03/2020,Northern,Plav,0,0
28/03/2020,Northern,Pluzine,0,0
28/03/2020,Northern,Pljevlja,0,0
28/03/2020,Northern,Rozaje,0,0
28/03/2020,Northern,Savnik,0,0
28/03/2020,Northern,Zabljak,0,0
29/03/2020,Central,Podgorica,0,0
29/03/2020,Central,Cetinje,0,0
29/03/2020,Central,Danilovgrad,0,0
29/03/2020,Central,Niksic,0,0
29/03/2020,Central,Tuzi,0,0
29/03/2020,Costal,Bar,0,0
29/03/2020,Costal,Budva,0,0
29/03/2020,Costal,Herceg Novi,0,0
29/03/2020,Costal,Kotor,0,0
29/03/2020,Costal,Tivat,0,0
29/03/2020,Costal,Ulcinj,0,0
29/03/2020,Northern,Andrijevica,0,0
29/03/2020,Northern,Berane,0,0
29/03/2020,Northern,Bijelo Polje,0,0
29/03/2020,Northern,Gusinje,0,0
29/03/2020,Northern,Kolasin,0,0
29/03/2020,Northern,Mojkovac,0,0
29/03/2020,Northern,Petnjica,0,0
29/03/2020,Northern,Plav,0,0
29/03/2020,Northern,Pluzine,0,0
29/03/2020,Northern,Pljevlja,0,0
29/03/2020,Northern,Rozaje,0,0
29/03/2020,Northern,Savnik,0,0
29/03/2020,Northern,Zabljak,0,0
30/03/2020,Central,Podgorica,2,0
30/03/2020,Central,Cetinje,0,0
30/03/2020,Central,Danilovgrad,0,0
30/03/2020,Central,Niksic,0,0
30/03/2020,Central,Tuzi,0,0
30/03/2020,Costal,Bar,0,0
30/03/2020,Costal,Budva,0,0
30/03/2020,Costal,Herceg Novi,0,0
30/03/2020,Costal,Kotor,0,0
30/03/2020,Costal,Tivat,0,0
30/03/2020,Costal,Ulcinj,4,0
30/03/2020,Northern,Andrijevica,0,0
30/03/2020,Northern,Berane,0,0
30/03/2020,Northern,Bijelo Polje,0,0
30/03/2020,Northern,Gusinje,0,0
30/03/2020,Northern,Kolasin,0,0
30/03/2020,Northern,Mojkovac,0,0
30/03/2020,Northern,Petnjica,0,0
30/03/2020,Northern,Plav,0,0
30/03/2020,Northern,Pluzine,0,0
30/03/2020,Northern,Pljevlja,0,0
30/03/2020,Northern,Rozaje,0,0
30/03/2020,Northern,Savnik,0,0
30/03/2020,Northern,Zabljak,0,0
31/03/2020,Central,Podgorica,9,0
31/03/2020,Central,Cetinje,0,0
31/03/2020,Central,Danilovgrad,0,0
31/03/2020,Central,Niksic,0,0
31/03/2020,Central,Tuzi,1,0
31/03/2020,Costal,Bar,4,0
31/03/2020,Costal,Budva,0,0
31/03/2020,Costal,Herceg Novi,0,0
31/03/2020,Costal,Kotor,0,0
31/03/2020,Costal,Tivat,1,0
31/03/2020,Costal,Ulcinj,1,0
31/03/2020,Northern,Andrijevica,1,0
31/03/2020,Northern,Berane,0,0
31/03/2020,Northern,Bijelo Polje,1,0
31/03/2020,Northern,Gusinje,0,0
31/03/2020,Northern,Kolasin,0,0
31/03/2020,Northern,Mojkovac,0,0
31/03/2020,Northern,Petnjica,0,0
31/03/2020,Northern,Plav,0,0
31/03/2020,Northern,Pluzine,0,0
31/03/2020,Northern,Pljevlja,0,0
31/03/2020,Northern,Rozaje,0,0
31/03/2020,Northern,Savnik,0,0
31/03/2020,Northern,Zabljak,0,0
01/04/2020,Central,Podgorica,11,0
01/04/2020,Central,Cetinje,0,0
01/04/2020,Central,Danilovgrad,0,0
01/04/2020,Central,Niksic,1,0
01/04/2020,Central,Tuzi,1,0
01/04/2020,Costal,Bar,0,0
01/04/2020,Costal,Budva,0,0
01/04/2020,Costal,Herceg Novi,0,0
01/04/2020,Costal,Kotor,0,0
01/04/2020,Costal,Tivat,0,0
01/04/2020,Costal,Ulcinj,1,0
01/04/2020,Northern,Andrijevica,0,0
01/04/2020,Northern,Berane,0,0
01/04/2020,Northern,Bijelo Polje,0,0
01/04/2020,Northern,Gusinje,0,0
01/04/2020,Northern,Kolasin,0,0
01/04/2020,Northern,Mojkovac,0,0
01/04/2020,Northern,Petnjica,0,0
01/04/2020,Northern,Plav,0,0
01/04/2020,Northern,Pluzine,0,0
01/04/2020,Northern,Pljevlja,0,0
01/04/2020,Northern,Rozaje,0,0
01/04/2020,Northern,Savnik,0,0
01/04/2020,Northern,Zabljak,0,0
02/04/2020,Central,Podgorica,13,0
02/04/2020,Central,Cetinje,0,0
02/04/2020,Central,Danilovgrad,1,0
02/04/2020,Central,Niksic,2,0
02/04/2020,Central,Tuzi,0,0
02/04/2020,Costal,Bar,0,0
02/04/2020,Costal,Budva,0,0
02/04/2020,Costal,Herceg Novi,0,0
02/04/2020,Costal,Kotor,0,0
02/04/2020,Costal,Tivat,0,0
02/04/2020,Costal,Ulcinj,0,0
02/04/2020,Northern,Andrijevica,0,0
02/04/2020,Northern,Berane,0,0
02/04/2020,Northern,Bijelo Polje,5,0
02/04/2020,Northern,Gusinje,0,0
02/04/2020,Northern,Kolasin,0,0
02/04/2020,Northern,Mojkovac,0,0
02/04/2020,Northern,Petnjica,0,0
02/04/2020,Northern,Plav,0,0
02/04/2020,Northern,Pluzine,0,0
02/04/2020,Northern,Pljevlja,0,0
02/04/2020,Northern,Rozaje,0,0
02/04/2020,Northern,Savnik,0,0
02/04/2020,Northern,Zabljak,0,0
03/04/2020,Central,Podgorica,14,0
03/04/2020,Central,Cetinje,0,0
03/04/2020,Central,Danilovgrad,1,0
03/04/2020,Central,Niksic,11,0
03/04/2020,Central,Tuzi,0,0
03/04/2020,Costal,Bar,2,0
03/04/2020,Costal,Budva,0,0
03/04/2020,Costal,Herceg Novi,2,0
03/04/2020,Costal,Kotor,0,0
03/04/2020,Costal,Tivat,0,0
03/04/2020,Costal,Ulcinj,0,0
