date,Region,Municipality,cases,deaths,ncases,ndeaths
2020-03-16,Costal,Kotor,0,0,0,0
2020-03-16,Costal,Tivat,0,0,0,0
2020-03-16,Costal,Ulcinj,0,0,0,0
2020-03-16,Northern,Andrijevica,0,0,0,0
2020-03-16,Northern,Berane,0,0,0,0
2020-03-16,Northern,Bijelo Polje,0,0,0,0
2020-03-16,Northern,Gusinje,0,0,0,0
2020-03-16,Northern,Kolasin,0,0,0,0
2020-03-16,Northern,Mojkovac,0,0,0,0
2020-03-16,Northern,Petnjica,0,0,0,0
2020-03-16,Northern,Plav,0,0,0,0
2020-03-16,Northern,Pluzine,0,0,0,0
2020-03-16,Northern,Rozaje,0,0,0,0
2020-03-16,Northern,Savnik,0,0,0,0
2020-03-16,Northern,Zabljak,0,0,0,0
2020-03-16,Northern,Pljevlja,0,0,0,0
2020-03-17,Central,Podgorica,0,0,0,0
2020-03-17,Central,Cetinje,0,0,0,0
2020-03-17,Central,Danilovgrad,0,0,0,0
2020-03-17,Central,Niksic,0,0,0,0
2020-03-17,Central,Tuzi,0,0,0,0
2020-03-17,Costal,Bar,0,0,0,0
2020-03-17,Costal,Budva,0,0,0,0
2020-03-17,Costal,Herceg Novi,0,0,0,0
2020-03-17,Costal,Kotor,0,0,0,0
2020-03-17,Costal,Tivat,0,0,0,0
2020-03-17,Costal,Ulcinj,0,0,0,0
2020-03-17,Northern,Andrijevica,0,0,0,0
2020-03-17,Northern,Berane,0,0,0,0
2020-03-17,Northern,Bijelo Polje,0,0,0,0
2020-03-17,Northern,Gusinje,0,0,0,0
2020-03-17,Northern,Kolasin,0,0,0,0
2020-03-17,Northern,Mojkovac,0,0,0,0
2020-03-17,Northern,Petnjica,0,0,0,0
2020-03-17,Northern,Plav,0,0,0,0
2020-03-17,Northern,Pluzine,0,0,0,0
2020-03-17,Northern,Rozaje,0,0,0,0
2020-03-17,Northern,Savnik,0,0,0,0
2020-03-17,Northern,Zabljak,0,0,0,0
2020-03-17,Northern,Pljevlja,0,0,0,0
2020-03-18,Central,Podgorica,0,0,0,0
2020-03-18,Central,Cetinje,0,0,0,0
2020-03-18,Central,Danilovgrad,0,0,0,0
2020-03-18,Central,Niksic,0,0,0,0
2020-03-18,Central,Tuzi,0,0,0,0
2020-03-18,Costal,Bar,0,0,0,0
2020-03-18,Costal,Budva,0,0,0,0
2020-03-18,Costal,Herceg Novi,0,0,0,0
2020-03-18,Costal,Kotor,0,0,0,0
2020-03-18,Costal,Tivat,0,0,0,0
2020-03-18,Costal,Ulcinj,0,0,0,0
2020-03-18,Northern,Andrijevica,0,0,0,0
2020-03-18,Northern,Berane,0,0,0,0
2020-03-18,Northern,Bijelo Polje,0,0,0,0
2020-03-18,Northern,Gusinje,0,0,0,0
2020-03-18,Northern,Kolasin,0,0,0,0
2020-03-18,Northern,Mojkovac,0,0,0,0
2020-03-18,Northern,Petnjica,0,0,0,0
2020-03-18,Northern,Plav,0,0,0,0
